#timestamp x y z qw qx qy qz
1779938707.423439 505972.976511 2495860.394395 19.580045 -0.053396 -0.006039 0.066714 0.996324
1779938707.523440 505972.918213 2495860.505229 19.573805 -0.040618 0.000553 0.052010 0.997820
1779938707.623442 505972.860201 2495860.610280 19.567612 -0.009924 0.009443 0.041060 0.999063
1779938707.723443 505972.803302 2495860.709424 19.577963 -0.000694 0.020180 0.062133 0.997864
1779938707.823444 505972.749665 2495860.808305 19.587354 0.001584 0.017650 0.079266 0.996696
1779938707.923445 505972.692900 2495860.917848 19.579522 0.000995 0.019287 0.065834 0.997644
1779938708.023445 505972.629579 2495861.041008 19.563375 -0.006975 0.027159 0.051124 0.998299
1779938708.123447 505972.561744 2495861.173407 19.558534 -0.032278 0.031544 0.046841 0.997882
1779938708.223447 505972.492669 2495861.304767 19.571489 -0.053027 0.021738 0.053499 0.996922
1779938708.323448 505972.421146 2495861.431807 19.581223 -0.067345 -0.007212 0.061304 0.995819
1779938708.423450 505972.345320 2495861.551606 19.575442 -0.082961 -0.030039 0.062618 0.994130
1779938708.523451 505972.268601 2495861.663778 19.567415 -0.092100 -0.018537 0.062152 0.993635
1779938708.623451 505972.201790 2495861.770718 19.573084 -0.078613 -0.012042 0.053901 0.995374
1779938708.723452 505972.149706 2495861.873004 19.589900 -0.081471 -0.025993 0.065046 0.994211
1779938708.823454 505972.104503 2495861.976080 19.592183 -0.069928 -0.039185 0.073793 0.994047
1779938708.923456 505972.054734 2495862.090101 19.573842 -0.065128 -0.031345 0.079850 0.994183
1779938709.023456 505971.998948 2495862.213860 19.559107 -0.086606 -0.019570 0.088106 0.992146
1779938709.123458 505971.938488 2495862.343572 19.566432 -0.079349 -0.031111 0.073089 0.993677
1779938709.223460 505971.874916 2495862.469323 19.585506 -0.078852 -0.043706 0.059686 0.994138
1779938709.323461 505971.810604 2495862.583523 19.601836 -0.106039 -0.034887 0.059611 0.991960
1779938709.423463 505971.749748 2495862.694239 19.603474 -0.118498 -0.016815 0.048837 0.991610
1779938709.523464 505971.694293 2495862.802046 19.597375 -0.098164 -0.005201 0.036442 0.994489
1779938709.623464 505971.644722 2495862.904178 19.600581 -0.071265 0.008321 0.045399 0.996389
1779938709.723465 505971.602546 2495863.002297 19.608618 -0.054346 0.007756 0.065562 0.996337
1779938709.823466 505971.563084 2495863.103251 19.603235 -0.029955 -0.003000 0.066212 0.997351
1779938709.923466 505971.516200 2495863.215286 19.586916 -0.025902 -0.000960 0.051084 0.998358
1779938710.023468 505971.460954 2495863.339305 19.576408 -0.043755 0.005527 0.035420 0.998399
1779938710.123468 505971.400195 2495863.466687 19.585717 -0.056283 0.005340 0.029045 0.997978
1779938710.223469 505971.334062 2495863.589991 19.605277 -0.072105 0.000183 0.032894 0.996855
